0, 0, 0, 1, 0, 0, 1, 4, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 1, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0
1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 2, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 2, 0, 0, 0, 4, 1, 0, 3, 2, 1, 1, 1, 0, 0, 0, 0, 1
1, 0, 0, 1, 0, 1, 1, 2, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
7, 0, 12, 3, 2, 0, 5, 10, 1, 4, 12, 0, 2, 14, 4, 1, 17, 4, 2, 1
7, 1, 0, 1, 3, 2, 2, 1, 1, 6, 4, 0, 1, 8, 6, 3, 12, 1, 4, 4
3, 3, 3, 0, 1, 4, 3, 0, 2, 5, 0, 0, 0, 6, 4, 3, 4, 1, 3, 4
0, 0, 1, 2, 0, 2, 7, 0, 4, 3, 0, 1, 0, 1, 3, 1, 0, 1, 0, 3
0, 1, 0, 2, 0, 0, 4, 8, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1
