7 November 2013	UK intelligence work defends freedom, say spy chiefs	http://www.bbc.co.uk/news/uk-politics-24847399
7 November 2013	Web creator Sir Tim Berners-Lee criticises spy agencies	http://www.bbc.co.uk/news/uk-24844427
7 November 2013	David Miranda court case hears journalism 'no defence'	http://www.bbc.co.uk/news/uk-24854070
7 November 2013	Is there an 'angst canon' of books that teenagers read?	http://www.bbc.co.uk/news/magazine-24833198
7 November 2013	Spy fact mirrors fiction with agency chiefs in televised grilling	http://www.bbc.co.uk/news/uk-24844435
6 November 2013	Edward Snowden articles 'could be acts of terror'	http://www.bbc.co.uk/news/uk-24830684
6 November 2013	German call for inquiry into British embassy 'spying'	http://www.bbc.co.uk/news/world-europe-24832851
6 November 2013	Letter from Africa: Eavesdropping on friends	http://www.bbc.co.uk/news/world-africa-24818968
6 November 2013	Apple reveals government data requests	http://www.bbc.co.uk/news/business-24830712
5 November 2013	Germany calls in British ambassador over spy claims	http://www.bbc.co.uk/news/world-europe-24824633
5 November 2013	Privacy group demands spy details from telecom firms	http://www.bbc.co.uk/news/technology-24819116
4 November 2013	John Kerry praises US-Saudi ties as 'enduring'	http://www.bbc.co.uk/news/world-middle-east-24799662
4 November 2013	Edward Snowden: Congress and White House reject clemency	http://www.bbc.co.uk/news/world-us-canada-24798793
4 November 2013	'Anonymous Indonesia' attacks Australian websites	http://www.bbc.co.uk/news/world-asia-24802593
3 November 2013	John Kerry urges 'democracy and stability' on Egypt stop	http://www.bbc.co.uk/news/world-middle-east-24793814
3 November 2013	John Kerry begins Mid East tour with stop in Egypt	http://www.bbc.co.uk/news/world-us-canada-24792866
2 November 2013	Malaysia protests at 'US and Australia spying' in Asia	http://www.bbc.co.uk/news/world-asia-24784895
2 November 2013	Brazil and Germany draft anti-spy resolution at UN	http://www.bbc.co.uk/news/world-europe-24781417
1 November 2013	Germany hopes for details from Snowden on US spying	http://www.bbc.co.uk/news/world-europe-24770430
1 November 2013	John Kerry: Some NSA spying went too far	http://www.bbc.co.uk/news/world-us-canada-24768717
1 November 2013	US spy leaks: How intelligence is gathered	http://www.bbc.co.uk/news/world-us-canada-24717495
1 November 2013	Australia ambassador summoned amid Asia US spying reports	http://www.bbc.co.uk/news/world-asia-24757968
31 October 2013	Internet giants should answer questions on NSA links, says Tom Watson	http://www.bbc.co.uk/news/uk-politics-24755219
31 October 2013	Ex-NSA man Edward Snowden gets web job in Russia	http://www.bbc.co.uk/news/world-europe-24757426
31 October 2013	Snowden leaks: Google 'outraged' at alleged NSA hacking	http://www.bbc.co.uk/news/world-us-canada-24751821
31 October 2013	NSA leaks helping India become 'Big Brother' state?	http://www.bbc.co.uk/news/world-asia-india-24753696
30 October 2013	Putin tops Forbes most powerful people list	http://www.bbc.co.uk/news/world-europe-24742039
30 October 2013	Germany's Merkel sends intelligence delegation to US	http://www.bbc.co.uk/news/world-us-canada-24740284
30 October 2013	Media detect mixed messages on US spying	http://www.bbc.co.uk/news/world-europe-24742378
30 October 2013	US intelligence chief Clapper defends spying policy	http://www.bbc.co.uk/news/world-us-canada-24729628
30 October 2013	How is the NSA&acirc;s vault of secrets being unlocked?	http://www.bbc.co.uk/news/magazine-24677237
29 October 2013	US spying: Senate intelligence committee orders review	http://www.bbc.co.uk/news/world-us-canada-24722636
29 October 2013	Spying scandal: Will the 'five eyes' club open up?	http://www.bbc.co.uk/news/world-europe-24715168
29 October 2013	White House says more intelligence constraints needed	http://www.bbc.co.uk/news/world-us-canada-24719830
28 October 2013	Cameron threatens to act against newspapers publishing security leaks	http://www.bbc.co.uk/news/uk-politics-24710826
28 October 2013	Why has NSA failed to keep its own secrets?	http://www.bbc.co.uk/news/world-us-canada-24707558
