0, 5, 0, 1, 0, 118, 0, 0, 2, 0, 1, 18, 0, 0, 10
2, 1, 0, 66, 0, 0, 2, 10, 15, 66, 0, 0, 10, 3, 0
0, 0, 16, 5, 0, 1, 0, 5, 54, 1, 0, 0, 1, 0, 1
1, 14, 0, 9, 1, 0, 2, 23, 0, 1, 0, 0, 0, 47, 34
0, 1, 0, 5, 0, 55, 1, 1, 0, 9, 6, 0, 0, 0, 55
0, 0, 5, 0, 13, 0, 0, 57, 2, 0, 0, 0, 0, 0, 0
0, 1, 64, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0
0, 0, 0, 2, 8, 0, 2, 12, 19, 0, 12, 104, 8, 3, 4
0, 3, 0, 3, 2, 0, 0, 1, 11, 4, 0, 4, 6, 0, 110
26, 18, 0, 2, 0, 82, 0, 0, 2, 0, 0, 0, 0, 0, 0
0, 16, 9, 0, 35, 1, 2, 0, 5, 0, 0, 0, 5, 0, 115
5, 0, 0, 0, 0, 0, 0, 20, 0, 2, 0, 0, 0, 63, 0
