0.00000000000000e+00 1.000e+00
7.21880871380613e+05   inf
7.13524219882803e+05 1.158e-02
7.28055878343553e+05 2.037e-02
7.39399639045672e+05 1.558e-02
7.46321677319556e+05 9.362e-03
7.53108602062088e+05 9.094e-03
7.57064307760980e+05 5.253e-03
7.62409609044844e+05 7.061e-03
7.66313987597721e+05 5.121e-03
7.69841887539827e+05 4.604e-03
7.73359903019040e+05 4.570e-03
7.75924760831614e+05 3.317e-03
7.78978401885658e+05 3.935e-03
7.81264172135958e+05 2.934e-03
7.83003713808098e+05 2.227e-03
7.85147257595304e+05 2.738e-03
7.86513508040582e+05 1.740e-03
7.87730552482819e+05 1.547e-03
7.88989436732133e+05 1.598e-03
7.90034874011507e+05 1.325e-03
