0.00000000000000e+00 1.000e+00
7.19875579713398e+05   inf
7.10180098218711e+05 1.347e-02
7.27388261462397e+05 2.423e-02
7.36401281435349e+05 1.239e-02
7.43343488269836e+05 9.427e-03
7.49912631836119e+05 8.837e-03
7.56264896735963e+05 8.471e-03
7.60668549610057e+05 5.823e-03
7.64433466302432e+05 4.949e-03
7.67587695618810e+05 4.126e-03
7.71112152326369e+05 4.592e-03
7.73403490707008e+05 2.971e-03
7.75231359508001e+05 2.363e-03
7.77167460507070e+05 2.497e-03
7.78723912899870e+05 2.003e-03
7.80254302041604e+05 1.965e-03
7.81466602727602e+05 1.554e-03
7.82683341403733e+05 1.557e-03
7.83620550557431e+05 1.197e-03
7.84461264662504e+05 1.073e-03
