5, 20, 10, 0, 9, 10, 11, 2, 7, 4, 35, 10, 26, 0, 6
6, 4, 10, 3, 7, 7, 5, 0, 15, 3, 23, 12, 64, 0, 16
5, 13, 4, 0, 2, 2, 5, 2, 6, 1, 16, 7, 17, 0, 4
11, 34, 5, 0, 6, 1, 13, 13, 7, 2, 9, 4, 26, 0, 1
4, 14, 3, 2, 3, 5, 7, 10, 4, 4, 11, 11, 5, 47, 3
4, 5, 1, 3, 1, 6, 18, 13, 6, 1, 3, 2, 2, 4, 8
2, 8, 3, 0, 7, 4, 14, 6, 3, 2, 7, 6, 0, 1, 7
6, 6, 8, 2, 7, 60, 15, 6, 12, 8, 9, 9, 4, 1, 21
3, 15, 0, 12, 4, 35, 14, 3, 11, 3, 7, 8, 2, 5, 22
5, 7, 1, 33, 4, 27, 15, 2, 7, 2, 7, 7, 1, 2, 10
7, 30, 6, 19, 8, 36, 17, 10, 10, 1, 14, 12, 2, 0, 16
14, 13, 2, 4, 1, 3, 13, 6, 7, 3, 11, 10, 0, 0, 3
